Title,Author,Subtitle,ISBN,Status,Rating,Pages,Publisher,Series,Country,Language,Ownership,Copies,Genres,Themes,Moods,Tropes,Tags,Seasonal,Collections,One-line recommendation,Confidence,Why I recommend it,Personal notes,Finished,Added,Times recommended,Last recommended
The Shadowed Sun,N.K. Jemisin,,,want-to-read,,496,Orbit,Dreamblood #2,United States,English,,,Fantasy; High Fantasy,duty; rebellion; power; healing; faith and corruption; destiny,atmospheric; tense; dark; complex,reluctant hero; forbidden magic; exiled royalty,Black author; fantasy duology; Ancient Egypt inspired; BIPOC author; female protagonist; book club pick,Black History Month; Autumn read; rainy day read,World Bookshelf; Civilizations Through Books; Civilization · Egypt; Around the World in 52 Books; Dark & Atmospheric,"A lush, original epic fantasy combining unique dream magic with intricate ancient worldbuilding.",,,,,,0,
The Killing Moon,N.K. Jemisin,,,want-to-read,,418,Orbit,Dreamblood Duology,United States,English,,,Fantasy; High Fantasy,faith; morality; duty; corruption; dreams; mortality,atmospheric; dark; mysterious; thought-provoking,assassin protagonist; unique magic system; corrupt order,Black author; epic fantasy; book club pick; rich worldbuilding; African-inspired fantasy,Autumn; rainy day read,World Bookshelf; Dark & Atmospheric,An immersive fantasy masterpiece featuring a brilliantly unique dream-based magic system and deep moral dilemmas.,,,,,,0,
The Chaos of Stars,Kiersten White,,,want-to-read,,288,HarperTeen,,United States,English,,,Young Adult; Fantasy; Mythology,family expectations; identity; mortality; first love; belonging,witty; lighthearted; reflective; romantic,gods among us; rebel protagonist; fish out of water,YA fantasy; Egyptian mythology; coming of age; quick read; summer read; under 300 pages; level:intermediate,Summer read; Back to school,World Bookshelf; Civilizations Through Books; Civilization · Egypt; Around the World in 52 Books,A charming and witty contemporary fantasy blending modern teenage angst with ancient Egyptian gods.,,,,,,0,
The Shrouded Queen,Ashley Tropea,,,want-to-read,,,,,United States,English,,,Fantasy; Romance,power; court intrigue; secrets; dark magic; identity,dark; atmospheric; mysterious; suspenseful,morally grey characters; hidden identity; enemies to lovers,dark fantasy; romantasy; gothic vibes; indie author; booktok recommendation; spooky reads; gem:popular,Halloween; Autumn read; spooky season,World Bookshelf; Dark & Atmospheric,"An atmospheric dark fantasy filled with deadly secrets, courtly danger, and morally grey romance.",,,,,,0,
She Knows All the Names,Michelle jabes corpora,,,want-to-read,,60,Game Over Books,,United States,English,,,Poetry; Asian American Literature,identity; grief; diaspora; mother-daughter relationships; heritage; memory,introspective; emotional; melancholic; reflective,,Filipina author; poetry collection; AAPI Heritage Month; National Poetry Month; Asian American literature; short read; under 200 pages,National Poetry Month; AAPI Heritage Month; quiet weekend read,World Bookshelf; Heartbreaking Reads,"A moving and luminous poetry collection exploring heritage, loss, and the endurance of familial love.",,,,,,0,
His Face Is the Sun,Michelle jabes corpora,,,want-to-read,,,,,United States,English,,,Poetry; Literary Fiction,identity; healing; love; self-discovery; resilience,reflective; emotional; introspective; tender; hopeful,character-driven; interiority,poetry collection; contemporary poetry; National Poetry Month; quick read; emotional read; indie poetry; level:intermediate; gem:hidden,National Poetry Month; rainy day read; spring read,World Bookshelf; Heartbreaking Reads; Comfort Reads; Slow Literary,"An intimate and luminous collection perfect for readers seeking comfort, self-reflection, and hope.",,,,,,0,
He Who Drowned the World,Shelley parker-chan,,,want-to-read,,496,Tor Books,The Radiant Emperor,China,English,,,Fantasy; Historical Fiction,ambition; power; gender identity; vengeance; grief; fate,dark; intense; tragic; atmospheric,morally grey protagonist; power struggle; tragic antihero,Asian author; queer fantasy; LGBTQIA+; AAPI Heritage Month; book club pick; duology finale; dark fantasy,Autumn read; AAPI Heritage Month; Pride Month,World Bookshelf; Civilizations Through Books; Civilization · China; Around the World in 52 Books; East Asia Shelf; Heartbreaking Reads; Dark & Atmospheric,"An unforgettable, dark queer fantasy epic about the terrifying true cost of ambition and power.",,,,,,0,
She Who Became the Sun,Shelley parker-chan,,,want-to-read,,416,Tor Books,The Radiant Emperor,China,English,,,Fantasy; Historical Fiction; LGBTQ+,ambition; identity; survival; destiny; gender expression; power,epic; dark; atmospheric; intense,gender-bending; stolen identity; morally grey protagonist; enemies to lovers,queer epic fantasy; Chinese historical fantasy; book club pick; Pride Month; AAPI author; debut novel,Pride Month; AAPI Heritage Month; Autumn,World Bookshelf; Civilizations Through Books; Civilization · China; Around the World in 52 Books; East Asia Shelf; Dark & Atmospheric,"A fierce, queer epic fantasy retelling the rise of the Ming Dynasty through a story of relentless ambition.",,,,,,0,
The Poppy War,R.F. kuang,,,want-to-read,,530,Harper Voyager,The Poppy War,China,English,,,Fantasy; Dark Fantasy; Historical Fiction,war; power; addiction; imperialism; trauma; morality,dark; intense; grim; atmospheric; heartbreaking,magic school; underdog; morally grey protagonist; reluctant godhead,AAPI author; dark fantasy; military academy; Asian fantasy; grimdark; book club pick; inspired by history; level:advanced,AAPI Heritage Month; Autumn read,World Bookshelf; Civilizations Through Books; Civilization · China; Around the World in 52 Books; East Asia Shelf; Heartbreaking Reads; Dark & Atmospheric,A brutal and brilliantly crafted dark fantasy inspired by 20th-century Chinese history.,,,,,,0,
The Scarlet Alchemist,Kylie lee baker,,,want-to-read,,384,Inkyard Press,The Scarlet Alchemist #1,China,English,,,Fantasy; Young Adult; Historical Fantasy,survival; class inequality; ambition; sacrifice; morality,dark; tense; atmospheric; morally grey; visceral,forbidden magic; court intrigue; underdog protagonist,AAPI author; Chinese historical fantasy; blood magic; dark fantasy; Halloween read; book club pick; YA fantasy,Halloween; Autumn; AAPI Heritage Month,World Bookshelf; Civilizations Through Books; Civilization · China; Around the World in 52 Books; East Asia Shelf; Dark & Atmospheric,"A gory and fast-paced dark YA fantasy rich in Chinese history and driven by a fierce, morally grey heroine.",,,,,,0,
Iron Widow,Iran jay zhao,,,want-to-read,,394,Penguin Teen,Iron Widow #1,China,English,,,Science Fiction; Young Adult; Fantasy,revenge; feminism; patriarchy; polyamory; power; survival,dark; action-packed; intense; furious; empowering,love triangle to polyamory; rebellion; mech battles; underdog,Chinese author; Chinese mythology inspired; mecha sci-fi; polyamorous romance; strong female lead; AAPI Month pick; queer fiction; level:intermediate,AAPI Heritage Month; Pride Month; rainy day read,World Bookshelf; Civilizations Through Books; Civilization · China; Around the World in 52 Books; East Asia Shelf; Dark & Atmospheric,"A explosive, unapologetic blend of Pacific Rim and Chinese history driven by a fierce feminist protagonist.",,,,,,0,
The Grace of Kings,Ken Liu,,,want-to-read,,624,Saga Press,The Dandelion Dynasty #1,United States,English,,,Fantasy; Epic Fantasy; High Fantasy,rebellion; friendship; power; governance; loyalty; war,epic; ambitious; sweeping; philosophical; adventurous,friends to rivals; rebel vs empire; gods playing games,silkpunk fantasy; Asian inspired fantasy; friends to enemies; political intrigue; epic series starter; AAPI author; book club pick; level:advanced,AAPI Heritage Month; Autumn read; Winter read,World Bookshelf,"A magnificent silkpunk epic that reimagines East Asian historical legend into a sweeping story of rebellion, rivalry, and governance.",,,,,,0,
