slug,pillar,name,description,examples
india-bookshelf,India Bookshelf,India Bookshelf,Umbrella: Indian authors and/or India-centred stories,
world-bookshelf,World Bookshelf,World Bookshelf,Umbrella: global fiction beyond India-primary shelves,
roots-of-bharat,Roots of Bharat,Roots of Bharat,Umbrella: mythology epics dharma civilizational memory,
mood-reads,Mood Reads,Mood Reads,Umbrella mood pillar,
seasonal-festival,Seasonal & Festival,Seasonal & Festival,Umbrella seasonal/festival (also use seasonal field),
sig-around-the-world,Signature,Around the World in 52 Books,One country (or culture) each week — rotating world shelf,
sig-states-through-stories,Signature,States Through Stories,Indian states/regions through fiction & narrative non-fiction,"Kerala; Bengal; Kashmir; Rajasthan; Tamil Nadu; Gujarat; Assam; Maharashtra"
sig-epic-project,Signature,The Epic Project,Ramayana & Mahabharata characters — one focus per post over time,"Karna; Kunti; Gandhari; Mandodari; Satyavati; Shabari; Tara; Bhishma"
sig-civilizations,Signature,Civilizations Through Books,Ancient & classical civilizations via fiction/myth/history,"Greece; Rome; Egypt; Persia; China; Japan"
india-partition,India Bookshelf,Partition Stories,1947 Partition and its afterlives,
india-literary,India Bookshelf,Indian Literary Fiction,Literary fiction by or about India,
india-women,India Bookshelf,Indian Women Writers,Women authors from India / diaspora writing India,
women-writers,Women Shelves,Women Writers,Books written by women / female authors,
women-centric,Women Shelves,Women-Centric Reads,Books about women or centred on women's lives and stories,
for-women-readers,Women Shelves,For Women Readers,Books that resonate for women readers (women's fiction romance book-club energy),
india-myth-retelling,Roots of Bharat,Indian Mythology Retellings,Modern retellings of Indian epics and lore,
india-history,India Bookshelf,Indian Historical Fiction,India-set historical novels,
world-east-asia,World Bookshelf,East Asia Shelf,Japan Korea China Taiwan focused reads,
world-middle-east,World Bookshelf,Middle East & North Africa,MENA authors and settings,
world-europe,World Bookshelf,European Shelf,European literary & historical fiction,
world-africa,World Bookshelf,African Shelf,African authors and settings,
world-americas,World Bookshelf,Americas Shelf,North & Latin American fiction,
mood-heartbreaking,Mood Reads,Heartbreaking Reads,Emotional gut-punch books,
mood-comfort,Mood Reads,Comfort Reads,Warm restorative reading,
mood-dark,Mood Reads,Dark & Atmospheric,Dark gothic tense atmospheres,
mood-page-turner,Mood Reads,Page-Turners,Propulsive thrillers mysteries suspense,
mood-slow-literary,Mood Reads,Slow Literary,Quiet literary immersion,
level-beginner,Level,Beginner Friendly,Accessible entry points,
level-intermediate,Level,Intermediate,Some literary / cultural context helps,
level-advanced,Level,Advanced,Dense demanding or highly referential,
gem-hidden,Gem,Hidden Gem,Under-recommended relative to quality,
gem-popular,Gem,Popular Pick,Widely known crowd-pleaser,
gem-classic,Gem,Classic,Established classic or modern classic,
state-kerala,States Through Stories,Kerala Stories,Set in or strongly about Kerala,
state-bengal,States Through Stories,Bengal Stories,Bengal / Kolkata / Bangla culture,
state-kashmir,States Through Stories,Kashmir Stories,Kashmir-focused narratives,
state-rajasthan,States Through Stories,Rajasthan Stories,Rajasthan-focused narratives,
state-tamil-nadu,States Through Stories,Tamil Nadu Stories,Tamil Nadu / Chennai / Tamil culture,
state-gujarat,States Through Stories,Gujarat Stories,Gujarat-focused narratives,
state-assam,States Through Stories,Assam & Northeast Stories,Assam and Northeast India,
state-maharashtra,States Through Stories,Maharashtra Stories,Maharashtra / Mumbai / Pune,
state-punjab,States Through Stories,Punjab Stories,Punjab / Sikh / Partition Punjab,
epic-karna,The Epic Project,Epic · Karna,Books centred on Karna,
epic-kunti,The Epic Project,Epic · Kunti,Books centred on Kunti,
epic-gandhari,The Epic Project,Epic · Gandhari,Books centred on Gandhari,
epic-mandodari,The Epic Project,Epic · Mandodari,Books centred on Mandodari,
epic-bhishma,The Epic Project,Epic · Bhishma,Books centred on Bhishma,
civ-greece,Civilizations Through Books,Civilization · Greece,Greek myth history fiction,
civ-rome,Civilizations Through Books,Civilization · Rome,Roman world,
civ-egypt,Civilizations Through Books,Civilization · Egypt,Egyptian myth history fiction,
civ-persia,Civilizations Through Books,Civilization · Persia,Persian / Iranian classical worlds,
civ-china,Civilizations Through Books,Civilization · China,Chinese myth history fiction,
civ-japan,Civilizations Through Books,Civilization · Japan,Japanese myth history fiction,
