Title,Subtitle,Author,Author Gender,Country,Original Language,Translator,Publication Year,Pages,ISBN,Cover URL,Fiction / Non-fiction,Primary Genre,Secondary Genre,Subgenre,Audience,Series,Series Name,Series Number,Standalone,Themes,Mood / Reading Experience,,Search Tags,Female Author,Female Protagonist,Women Focus,Collections,Recommendation Occasion,Reading Level,Similar Books,One-line Recommendation,Short Description,Instagram Hook,Instagram Post Topic,Best Posting Month,Chapters.Aur.Chai Rating,Read Status,Date Read,Format Read,Owned,Wishlist,Awards,Bestseller,Adaptation,BookTok Popular,Bookstagram Popular
On Earth We're Briefly Gorgeous,—,Ocean Vuong,Male,USA / Vietnam,English,—,2019,246,—,—,Fiction,Literary Fiction,Contemporary Fiction,Coming-of-Age,Adult,No,—,—,Yes,"Identity, Family, Immigration, Love, Trauma","Emotional, Reflective, Poetic, Intimate","Coming of Age, Family Saga, Epistolary","Literary Fiction, LGBTQ+, Vietnamese Diaspora, Identity, Family, Award-winning, Book Club, Emotional",No,No,Secondary,"Literary Fiction, LGBTQ+ Literature","Reflective Read, Book Club",Advanced,"Shuggie Bain, Real Life, The Great Believers","A lyrical novel exploring identity, family, memory, and the immigrant experience.","Written as a letter from a son to his mother, this novel beautifully explores love, trauma, identity, and belonging through poetic prose.",Some books don't tell a story—they leave a scar on your heart.,Literary Fiction Everyone Should Read,October,,,,,,,Multiple Literary Awards,Yes,No,Yes,Yes
Maximum Ride,—,James Patterson,Male,USA,English,—,2005,423,—,—,Fiction,Science Fiction,Thriller,YA Dystopian,Young Adult,Yes,Maximum Ride,1,No,"Friendship, Survival, Freedom, Identity","Fast-paced, Action-packed, Suspenseful","Found Family, Chosen One, Genetic Experiment","YA, Science Fiction, Adventure, Dystopian, Fast Read, Series Starter",No,Yes,Secondary,YA Science Fiction,"Weekend Read, Fast Read",Beginner,"Legend, The Maze Runner, Gone",A thrilling YA adventure about genetically engineered teens fighting for freedom.,"Fast-paced, action-packed, and full of twists, it's perfect for readers beginning science fiction.",Imagine having wings—and everyone wants to capture you.,Best YA Sci-Fi Series,June,,,,,,,—,Yes,Yes,No,Moderate
The Butcher,—,Jennifer Hillier,Female,Canada,English,—,2014,352,—,—,Fiction,Thriller,Mystery,Psychological Thriller,Adult,No,—,—,Yes,"Murder, Secrets, Justice, Family","Dark, Suspenseful, Twisty","Serial Killer, Small Town, Hidden Secrets","Thriller, Psychological Thriller, Crime Fiction, Mystery, Women Author",Yes,Yes,Secondary,Psychological Thrillers,Weekend Thriller,Intermediate,"Jar of Hearts, The Silent Patient, Local Woman Missing",A gripping psychological thriller packed with dark family secrets and shocking twists.,"Jennifer Hillier delivers suspense, memorable characters, and an ending that keeps readers thinking long after the final page.",Trust no one. Especially family.,Twisty Psychological Thrillers,October,,,,,,,—,Yes,No,Moderate,High
The Chaos of Stars,—,Kiersten White,Female,USA,English,—,2013,272,—,—,Fiction,Fantasy,Romance,Mythological Fantasy,Young Adult,No,—,—,Yes,"Identity, Family, Destiny, Love","Romantic, Whimsical, Emotional","Mythology, Coming of Age, Slow Burn","YA Fantasy, Egyptian Mythology, Women Author, Myth Retelling",Yes,Yes,Primary,"Mythology Retellings, YA Fantasy",Mythology Read,Beginner,"Starcrossed, Lore, Percy Jackson",Egyptian mythology meets contemporary YA in a heartfelt coming-of-age fantasy.,"A unique blend of romance, mythology, and family dynamics centered around a memorable heroine.",What if the gods were your parents?,YA Mythology Books,July,,,,,,,—,No,No,Moderate,Moderate
The Shadowed Sun,—,N. K. Jemisin,Female,USA,English,—,2012,416,—,—,Fiction,Fantasy,Epic Fantasy,African-inspired Fantasy,Adult,Yes,Dreamblood Duology,2,No,"Power, Duty, Healing, Leadership","Epic, Atmospheric, Thought-provoking","Political Intrigue, Magic System","Epic Fantasy, African-inspired Fantasy, Women Author, Adult Fantasy",Yes,Yes,Secondary,Epic Fantasy,Epic Fantasy Read,Advanced,"The Fifth Season, The Hundred Thousand Kingdoms, The Killing Moon","A rich fantasy exploring leadership, power, and healing in a beautifully imagined world.",The sequel expands the Dreamblood world with intricate politics and unforgettable characters.,Power can heal—or destroy kingdoms.,Epic Fantasy Beyond Tolkien,November,,,,,,,—,No,No,Low,Moderate
The Killing Moon,—,N. K. Jemisin,Female,USA,English,—,2012,436,—,—,Fiction,Fantasy,Epic Fantasy,African-inspired Fantasy,Adult,Yes,Dreamblood Duology,1,No,"Justice, Dreams, Corruption, Power","Dark, Atmospheric, Immersive","Murder Mystery, Political Intrigue","Epic Fantasy, African-inspired Fantasy, Adult Fantasy, Award-winning Author",Yes,Yes,Secondary,Epic Fantasy,Epic Fantasy Read,Advanced,"The Shadowed Sun, The Fifth Season, Black Sun",A compelling fantasy mystery where dreams hold the fate of an empire.,"N. K. Jemisin combines mystery, politics, and mythology into a unique fantasy experience.",What if dreams could be used as weapons?,Underrated Adult Fantasy,November,,,,,,,—,No,No,Moderate,Moderate
The Shrouded Queen,—,Ashley Tropea,Female,USA,English,—,2024,—,—,—,Fiction,Fantasy,Romance,Epic Fantasy,Adult,Yes,The Halfling Saga,1,No,"Destiny, Magic, Loyalty, Power","Epic, Romantic, Adventurous","Hidden Heritage, Quest","Epic Fantasy, Women Author, New Release, Magic",Yes,Yes,Primary,Epic Fantasy,New Release Read,Intermediate,"The Priory of the Orange Tree, The Jasmine Throne, The Stardust Thief","A sweeping fantasy of queens, magic, and destiny.",An epic fantasy introducing a richly imagined world with political intrigue and powerful female characters.,A forgotten queen. A kingdom on the brink.,New Fantasy Releases,January,,,,,,Yes,—,No,No,Growing,
She Knows All the Names,—,Michelle Jabès Corpora,Female,USA,English,—,2024,—,—,—,Fiction,Fantasy,Historical Fantasy,Mythological Fantasy,Young Adult,No,—,—,Yes,"Identity, Legacy, Memory, Family","Emotional, Lyrical, Atmospheric","Ancient Mythology, Heroine's Journey","YA Fantasy, Women Author, Mythology, Historical Fantasy",Yes,Yes,Primary,Mythological Fantasy,Mythology Read,Intermediate,"Divine Rivals, Lore, Ariadne",A lyrical fantasy inspired by ancient myths and unforgettable heroines.,"Rich storytelling blends history, mythology, and identity into an immersive YA fantasy.",Names hold power—and some are worth killing for.,Mythology Inspired Fantasy,September,,,,,,Yes,—,No,Moderate,Growing,
His Face Is the Sun,—,Michelle Jabès Corpora,Female,USA,English,—,2025,—,—,—,Fiction,Fantasy,Historical Fantasy,Epic Fantasy,Young Adult,Yes,Sunbound Cycle,1,No,"Destiny, Power, Legacy, Survival","Epic, Emotional, Immersive","Hidden Identity, Political Conflict","YA Fantasy, Epic Fantasy, Women Author, New Release",Yes,Yes,Primary,Epic Fantasy,New Release Read,Intermediate,"The Poppy War, Divine Rivals, The Scarlet Alchemist","An ambitious fantasy filled with political conflict, destiny, and ancient magic.",A beautifully crafted fantasy perfect for readers who enjoy immersive worlds and strong heroines.,The sun remembers every promise ever broken.,Most Anticipated Fantasy Books,September,,,,,,Yes,—,No,Growing,Growing,
He Who Drowned the World,—,Shelley Parker-Chan,Non-binary,Australia,English,—,2023,496,—,—,Fiction,Historical Fiction,Fantasy,Historical Epic,Adult,Yes,Radiant Emperor Duology,2,No,"Ambition, Identity, War, Power","Dark, Epic, Complex","Gender Identity, Political Intrigue","Historical Fantasy, LGBTQ+, Adult Fantasy, Asian-inspired Fantasy",No,Yes,Primary,"Historical Fantasy, Asian Fantasy",Epic Read,Advanced,"She Who Became the Sun, The Jasmine Throne, The Poppy War","A breathtaking conclusion exploring ambition, identity, and the cost of power.","A bold historical fantasy that challenges gender, destiny, and empire through unforgettable characters.",History belongs to those bold enough to rewrite it.,Asian Fantasy Recommendations,August,,,,,,,Goodreads Choice Nominee,Yes,No,High,High
